Games,Country,Gold,Silver,Bronze,Total,Percentage,Total athletes,Athletes without medals
2016 Summer,Cayman Islands,0,0,0,0,0.0%,5,5
2016 Summer,Syria,0,0,0,0,0.0%,7,7
2016 Summer,Jamaica,11,17,2,30,39.0%,77,47
2016 Summer,Estonia,0,0,4,4,8.2%,49,45
2016 Summer,Seychelles,0,0,0,0,0.0%,10,10
2016 Summer,Ecuador,0,0,0,0,0.0%,40,40
2016 Summer,Panama,0,0,0,0,0.0%,14,14
2016 Summer,Gabon,0,0,0,0,0.0%,6,6
2016 Summer,Bahamas,1,0,5,6,15.8%,38,32
2016 Summer,Israel,0,0,2,2,3.4%,59,57
2016 Summer,Thailand,2,2,2,6,10.3%,58,52
2016 Summer,Botswana,0,0,0,0,0.0%,14,14
2016 Summer,NA,0,0,0,0,0.0%,13,13
2016 Summer,South Korea,13,3,10,26,9.9%,263,237
2016 Summer,Denmark,15,10,16,41,28.7%,143,102
2016 Summer,Cape Verde,0,0,0,0,0.0%,5,5
2016 Summer,Poland,3,3,10,16,5.5%,289,273
2016 Summer,Dominican Republic,0,0,1,1,3.3%,30,29
2016 Summer,Hungary,12,3,7,22,10.8%,204,182
2016 Summer,Czech Republic,1,2,12,15,11.1%,135,120
2016 Summer,Benin,0,0,0,0,0.0%,6,6
2016 Summer,Uruguay,0,0,0,0,0.0%,17,17
2016 Summer,Latvia,0,0,0,0,0.0%,33,33
2016 Summer,Andorra,0,0,0,0,0.0%,4,4
2016 Summer,Cyprus,0,0,0,0,0.0%,21,21
2016 Summer,Comoros,0,0,0,0,0.0%,4,4
2016 Summer,Libya,0,0,0,0,0.0%,7,7
2016 Summer,Hong Kong,0,0,0,0,0.0%,47,47
2016 Summer,Saint Lucia,0,0,0,0,0.0%,5,5
2016 Summer,Mozambique,0,0,0,0,0.0%,8,8
2016 Summer,Micronesia,0,0,0,0,0.0%,5,5
2016 Summer,Togo,0,0,0,0,0.0%,5,5
2016 Summer,Mauritania,0,0,0,0,0.0%,2,2
2016 Summer,Yemen,0,0,0,0,0.0%,3,3
2016 Summer,Croatia,7,15,2,24,25.8%,93,69
2016 Summer,Antigua,0,0,0,0,0.0%,9,9
2016 Summer,Afghanistan,0,0,0,0,0.0%,3,3
2016 Summer,Macedonia,0,0,0,0,0.0%,6,6
2016 Summer,Slovakia,3,5,0,8,12.7%,63,55
2016 Summer,Guinea,0,0,0,0,0.0%,5,5
2016 Summer,Fiji,13,0,0,13,24.5%,53,40
2016 Summer,Lebanon,0,0,0,0,0.0%,9,9
2016 Summer,Montenegro,0,0,0,0,0.0%,35,35
2016 Summer,Guatemala,0,0,0,0,0.0%,25,25
2016 Summer,Papua New Guinea,0,0,0,0,0.0%,8,8
2016 Summer,Zimbabwe,0,0,0,0,0.0%,31,31
2016 Summer,Gambia,0,0,0,0,0.0%,4,4
2016 Summer,Slovenia,1,2,1,4,5.7%,70,66
2016 Summer,Barbados,0,0,0,0,0.0%,13,13
2016 Summer,Cook Islands,0,0,0,0,0.0%,9,9
2016 Summer,Malta,0,0,0,0,0.0%,8,8
2016 Summer,Nepal,0,0,0,0,0.0%,7,7
2016 Summer,Sao Tome and Principe,0,0,0,0,0.0%,3,3
2016 Summer,Republic of Congo,0,0,0,0,0.0%,10,10
2016 Summer,Central African Republic,0,0,0,0,0.0%,6,6
2016 Summer,Senegal,0,0,0,0,0.0%,22,22
2016 Summer,Peru,0,0,0,0,0.0%,34,34
2016 Summer,Nauru,0,0,0,0,0.0%,2,2
2016 Summer,Guinea-Bissau,0,0,0,0,0.0%,5,5
2016 Summer,Laos,0,0,0,0,0.0%,5,5
2016 Summer,Rwanda,0,0,0,0,0.0%,7,7
2016 Summer,Timor-Leste,0,0,0,0,0.0%,3,3
2016 Summer,Albania,0,0,0,0,0.0%,6,6
2016 Summer,Luxembourg,0,0,0,0,0.0%,15,15
2016 Summer,Haiti,0,0,0,0,0.0%,10,10
2016 Summer,Boliva,0,0,0,0,0.0%,12,12
2016 Summer,Finland,0,0,1,1,1.5%,67,66
2016 Summer,Taiwan,1,0,4,5,7.5%,67,62
2016 Summer,Grenada,0,1,0,1,16.7%,6,5
2016 Summer,Zambia,0,0,0,0,0.0%,7,7
2016 Summer,Malawi,0,0,0,0,0.0%,5,5
2016 Summer,North Korea,2,3,2,7,18.4%,38,31
2016 Summer,Cambodia,0,0,0,0,0.0%,6,6
2016 Summer,"Virgin Islands, US",0,0,0,0,0.0%,7,7
2016 Summer,Mali,0,0,0,0,0.0%,6,6
2016 Summer,Marshall Islands,0,0,0,0,0.0%,5,5
2016 Summer,Monaco,0,0,0,0,0.0%,8,8
2016 Summer,Palau,0,0,0,0,0.0%,6,6
2016 Summer,Vietnam,1,1,0,2,7.1%,28,26
2016 Summer,Bermuda,0,0,0,0,0.0%,8,8
2016 Summer,Dominica,0,0,0,0,0.0%,2,2
2016 Summer,Equatorial Guinea,0,0,0,0,0.0%,1,1
2016 Summer,Tonga,0,0,0,0,0.0%,7,7
2016 Summer,Solomon Islands,0,0,0,0,0.0%,3,3
2016 Summer,Burundi,0,1,0,1,10.0%,10,9
2016 Summer,Kosovo,1,0,0,1,12.5%,8,7
2016 Summer,Iceland,0,0,0,0,0.0%,14,14
2016 Summer,"Virgin Islands, British",0,0,0,0,0.0%,4,4
2016 Summer,South Sudan,0,0,0,0,0.0%,3,3
2016 Summer,Liechtenstein,0,0,0,0,0.0%,3,3
2016 Summer,Tanzania,0,0,0,0,0.0%,7,7
2016 Summer,Myanmar,0,0,0,0,0.0%,8,8
2016 Summer,Guam,0,0,0,0,0.0%,5,5
2016 Summer,Maldives,0,0,0,0,0.0%,4,4
2016 Summer,Sierra Leone,0,0,0,0,0.0%,4,4
2016 Summer,Belize,0,0,0,0,0.0%,3,3
2016 Summer,American Samoa,0,0,0,0,0.0%,4,4
2016 Summer,Democratic Republic of the Congo,0,0,0,0,0.0%,4,4
2016 Summer,Bhutan,0,0,0,0,0.0%,2,2
2016 Summer,Kiribati,0,0,0,0,0.0%,3,3
2016 Summer,Burkina Faso,0,0,0,0,0.0%,5,5
2016 Summer,Suriname,0,0,0,0,0.0%,6,6
2016 Summer,Liberia,0,0,0,0,0.0%,3,3
2016 Summer,Nicaragua,0,0,0,0,0.0%,5,5
2016 Summer,Lesotho,0,0,0,0,0.0%,9,9
2016 Summer,Vanuatu,0,0,0,0,0.0%,4,4
2016 Summer,Aruba,0,0,0,0,0.0%,7,7
2016 Summer,Swaziland,0,0,0,0,0.0%,2,2
2016 Summer,Somalia,0,0,0,0,0.0%,2,2
2016 Summer,San Marino,0,0,0,0,0.0%,4,4
2014 Winter,Finland,2,7,24,33,22.4%,147,114
2014 Winter,Iran,0,0,0,0,0.0%,7,7
2014 Winter,USA,10,30,24,64,17.4%,367,303
2014 Winter,Latvia,0,5,6,11,13.4%,82,71
2014 Winter,Georgia,0,0,0,0,0.0%,7,7
2014 Winter,Ukraine,4,0,1,5,5.0%,101,96
2014 Winter,Belarus,5,0,1,6,8.3%,72,66
2014 Winter,Romania,0,0,0,0,0.0%,40,40
2014 Winter,Japan,1,4,6,11,6.4%,171,160
2014 Winter,UK,1,4,5,10,12.8%,78,68
2014 Winter,France,4,4,10,18,9.0%,201,183
2014 Winter,Switzerland,6,4,20,30,13.7%,219,189
2014 Winter,Belgium,0,0,0,0,0.0%,11,11
2014 Winter,Togo,0,0,0,0,0.0%,3,3
2014 Winter,Turkey,0,0,0,0,0.0%,11,11
2014 Winter,Canada,59,22,5,86,24.0%,359,273
2014 Winter,Italy,0,2,12,14,6.2%,227,213
2014 Winter,Kazakhstan,0,0,1,1,0.9%,115,114
2014 Winter,Monaco,0,0,0,0,0.0%,11,11
2014 Winter,Sweden,8,32,11,51,34.5%,148,97
2014 Winter,Australia,0,2,1,3,3.6%,84,81
2014 Winter,Russia,33,22,13,68,19.3%,353,285
2014 Winter,Germany,15,12,9,36,13.3%,271,235
2014 Winter,Austria,4,12,11,27,12.7%,213,186
2014 Winter,Bulgaria,0,0,0,0,0.0%,47,47
2014 Winter,Greece,0,0,0,0,0.0%,13,13
2014 Winter,Poland,4,4,3,11,7.4%,149,138
2014 Winter,Lithuania,0,0,0,0,0.0%,20,20
2014 Winter,Iceland,0,0,0,0,0.0%,11,11
2014 Winter,Norway,18,5,13,36,16.4%,219,183
2014 Winter,China,3,4,5,12,11.0%,109,97
2014 Winter,Slovakia,1,0,0,1,0.9%,115,114
2014 Winter,Czech Republic,2,7,2,11,6.1%,179,168
2014 Winter,Tonga,0,0,0,0,0.0%,1,1
2014 Winter,Argentina,0,0,0,0,0.0%,20,20
2014 Winter,Chile,0,0,0,0,0.0%,14,14
2014 Winter,New Zealand,0,0,0,0,0.0%,18,18
2014 Winter,Slovenia,2,2,4,8,6.9%,116,108
2014 Winter,Ireland,0,0,0,0,0.0%,8,8
2014 Winter,Hungary,0,0,0,0,0.0%,37,37
2014 Winter,Netherlands,13,7,9,29,35.4%,82,53
2014 Winter,Brazil,0,0,0,0,0.0%,17,17
2014 Winter,Taiwan,0,0,0,0,0.0%,5,5
2014 Winter,Mongolia,0,0,0,0,0.0%,2,2
2014 Winter,Azerbaijan,0,0,0,0,0.0%,4,4
2014 Winter,Croatia,0,1,0,1,4.0%,25,24
2014 Winter,Montenegro,0,0,0,0,0.0%,3,3
2014 Winter,Serbia,0,0,0,0,0.0%,17,17
2014 Winter,Israel,0,0,0,0,0.0%,6,6
2014 Winter,Moldova,0,0,0,0,0.0%,5,5
2014 Winter,"Virgin Islands, US",0,0,0,0,0.0%,2,2
2014 Winter,Peru,0,0,0,0,0.0%,5,5
2014 Winter,Spain,0,0,0,0,0.0%,39,39
2014 Winter,Lebanon,0,0,0,0,0.0%,3,3
2014 Winter,South Korea,7,5,2,14,10.8%,130,116
2014 Winter,"Virgin Islands, British",0,0,0,0,0.0%,1,1
2014 Winter,Macedonia,0,0,0,0,0.0%,6,6
2014 Winter,Dominica,0,0,0,0,0.0%,1,1
2014 Winter,Portugal,0,0,0,0,0.0%,4,4
2014 Winter,Jamaica,0,0,0,0,0.0%,2,2
2014 Winter,Denmark,0,0,0,0,0.0%,15,15
2014 Winter,Estonia,0,0,0,0,0.0%,66,66
2014 Winter,Armenia,0,0,0,0,0.0%,6,6
2014 Winter,Uzbekistan,0,0,0,0,0.0%,5,5
2014 Winter,Timor-Leste,0,0,0,0,0.0%,1,1
2014 Winter,Andorra,0,0,0,0,0.0%,12,12
2014 Winter,Liechtenstein,0,0,0,0,0.0%,5,5
2014 Winter,India,0,0,0,0,0.0%,2,2
2014 Winter,Pakistan,0,0,0,0,0.0%,1,1
2014 Winter,Bosnia and Herzegovina,0,0,0,0,0.0%,14,14
2014 Winter,Individual Olympic Athletes,0,0,0,0,0.0%,1,1
2014 Winter,Morocco,0,0,0,0,0.0%,4,4
2014 Winter,Hong Kong,0,0,0,0,0.0%,1,1
2014 Winter,Paraguay,0,0,0,0,0.0%,1,1
2014 Winter,Philippines,0,0,0,0,0.0%,1,1
2014 Winter,Albania,0,0,0,0,0.0%,2,2
2014 Winter,San Marino,0,0,0,0,0.0%,2,2
2014 Winter,Bermuda,0,0,0,0,0.0%,1,1
2014 Winter,Cyprus,0,0,0,0,0.0%,2,2
2014 Winter,Venezuela,0,0,0,0,0.0%,1,1
2014 Winter,Malta,0,0,0,0,0.0%,2,2
2014 Winter,Luxembourg,0,0,0,0,0.0%,1,1
2014 Winter,Tajikistan,0,0,0,0,0.0%,1,1
2014 Winter,Nepal,0,0,0,0,0.0%,1,1
2014 Winter,Zimbabwe,0,0,0,0,0.0%,2,2
2014 Winter,Thailand,0,0,0,0,0.0%,3,3
2014 Winter,Kyrgyzstan,0,0,0,0,0.0%,2,2
2014 Winter,Cayman Islands,0,0,0,0,0.0%,2,2
2014 Winter,Mexico,0,0,0,0,0.0%,1,1
2012 Summer,China,56,40,29,125,26.1%,479,354
2012 Summer,France,30,30,22,82,19.2%,426,344
2012 Summer,Morocco,0,0,1,1,1.5%,67,66
2012 Summer,Russia,50,39,51,140,25.5%,549,409
2012 Summer,Argentina,1,15,3,19,12.8%,148,129
2012 Summer,Italy,16,22,30,68,17.8%,382,314
2012 Summer,Algeria,1,0,0,1,2.6%,39,38
2012 Summer,Pakistan,0,0,0,0,0.0%,21,21
2012 Summer,Iran,4,5,3,12,21.1%,57,45
2012 Summer,Egypt,0,2,0,2,1.5%,132,130
2012 Summer,Australia,18,37,59,114,22.2%,514,400
2012 Summer,USA,145,57,46,248,36.0%,689,441
2012 Summer,Cameroon,0,0,0,0,0.0%,32,32
2012 Summer,Iraq,0,0,0,0,0.0%,8,8
2012 Summer,Uzbekistan,1,0,2,3,5.4%,56,53
2012 Summer,Azerbaijan,2,2,6,10,16.9%,59,49
2012 Summer,United Arab Emirates,0,0,0,0,0.0%,26,26
2012 Summer,Kyrgyzstan,0,0,0,0,0.0%,15,15
2012 Summer,Tajikistan,0,0,1,1,6.3%,16,15
2012 Summer,Canada,1,21,33,55,15.5%,354,299
2012 Summer,Cuba,5,3,6,14,11.9%,118,104
2012 Summer,Spain,5,33,25,63,18.6%,339,276
2012 Summer,Japan,7,44,33,84,21.1%,399,315
2012 Summer,Nigeria,0,0,0,0,0.0%,58,58
2012 Summer,Portugal,0,2,0,2,2.0%,98,96
2012 Summer,Switzerland,2,2,0,4,3.2%,126,122
2012 Summer,Colombia,1,3,4,8,6.7%,120,112
2012 Summer,Ethiopia,3,1,3,7,20.6%,34,27
2012 Summer,Jordan,0,0,0,0,0.0%,9,9
2012 Summer,Palestine,0,0,0,0,0.0%,5,5
2012 Summer,Kazakhstan,7,1,5,13,9.8%,132,119
2012 Summer,UK,48,30,48,126,18.4%,684,558
2012 Summer,Uganda,1,0,0,1,6.3%,16,15
2012 Summer,Tunisia,1,1,1,3,3.4%,87,84
2012 Summer,Netherlands,21,29,19,69,31.1%,222,153
2012 Summer,Mexico,16,5,3,24,20.2%,119,95
2012 Summer,Venezuela,1,0,0,1,1.2%,85,84
2012 Summer,Poland,2,2,8,12,4.7%,256,244
2012 Summer,Niger,0,0,0,0,0.0%,6,6
2012 Summer,Saint Kitts,0,0,0,0,0.0%,7,7
2012 Summer,New Zealand,9,3,15,27,13.2%,204,177
2012 Summer,Germany,45,27,22,94,18.4%,510,416
2012 Summer,Liberia,0,0,0,0,0.0%,3,3
2012 Summer,Eritrea,0,0,0,0,0.0%,12,12
2012 Summer,Brazil,14,34,11,59,19.3%,306,247
2012 Summer,Sweden,2,17,3,22,13.1%,168,146
2012 Summer,Belgium,0,1,2,3,2.1%,142,139
2012 Summer,Malaysia,0,1,1,2,5.3%,38,36
2012 Summer,Greece,0,0,3,3,2.6%,115,112
2012 Summer,Romania,2,8,6,16,10.3%,155,139
2012 Summer,Rwanda,0,0,0,0,0.0%,7,7
2012 Summer,Togo,0,0,0,0,0.0%,6,6
2012 Summer,Paraguay,0,0,0,0,0.0%,10,10
2012 Summer,Uruguay,0,0,0,0,0.0%,27,27
2012 Summer,Comoros,0,0,0,0,0.0%,3,3
2012 Summer,Indonesia,0,1,1,2,9.1%,22,20
2012 Summer,Maldives,0,0,0,0,0.0%,5,5
2012 Summer,Benin,0,0,0,0,0.0%,5,5
2012 Summer,Ivory Coast,0,0,0,0,0.0%,10,10
2012 Summer,Namibia,0,0,0,0,0.0%,9,9
2012 Summer,Estonia,0,1,1,2,5.6%,36,34
2012 Summer,Trinidad,1,4,5,10,26.3%,38,28
2012 Summer,Lithuania,2,1,2,5,6.9%,72,67
2012 Summer,Ukraine,9,5,12,26,8.6%,304,278
2012 Summer,Saint Vincent,0,0,0,0,0.0%,3,3
2012 Summer,Turkey,2,2,1,5,4.2%,119,114
2012 Summer,Cyprus,0,1,0,1,7.7%,13,12
2012 Summer,Saudi Arabia,0,0,4,4,17.4%,23,19
2012 Summer,Kuwait,0,0,1,1,8.3%,12,11
2012 Summer,Qatar,0,0,2,2,14.3%,14,12
2012 Summer,Bahrain,0,0,1,1,7.1%,14,13
2012 Summer,Yemen,0,0,0,0,0.0%,4,4
2012 Summer,Oman,0,0,0,0,0.0%,3,3
2012 Summer,Sudan,0,0,0,0,0.0%,6,6
2012 Summer,Finland,0,1,4,5,7.2%,69,64
2012 Summer,Fiji,0,0,0,0,0.0%,9,9
2012 Summer,Vanuatu,0,0,0,0,0.0%,5,5
2012 Summer,Jamaica,8,9,8,25,40.3%,62,37
2012 Summer,Guatemala,0,1,0,1,4.2%,24,23
2012 Summer,Puerto Rico,0,1,1,2,7.1%,28,26
2012 Summer,Bulgaria,0,1,1,2,2.7%,75,73
2012 Summer,Armenia,0,1,2,3,9.7%,31,28
2012 Summer,Latvia,1,0,2,3,6.0%,50,47
2012 Summer,Serbia,1,1,14,16,11.9%,134,118
2012 Summer,Belarus,3,12,8,23,12.4%,185,162
2012 Summer,"Virgin Islands, British",0,0,0,0,0.0%,2,2
2012 Summer,El Salvador,0,0,0,0,0.0%,11,11
2012 Summer,Madagascar,0,0,0,0,0.0%,7,7
2012 Summer,Djibouti,0,0,0,0,0.0%,4,4
2012 Summer,Croatia,15,4,16,35,29.7%,118,83
2012 Summer,Philippines,0,0,0,0,0.0%,11,11
2012 Summer,Seychelles,0,0,0,0,0.0%,6,6
2012 Summer,Barbados,0,0,0,0,0.0%,8,8
2012 Summer,Ecuador,0,0,0,0,0.0%,36,36
2012 Summer,Angola,0,0,0,0,0.0%,35,35
2012 Summer,Norway,15,1,1,17,24.6%,69,52
2012 Summer,Costa Rica,0,0,0,0,0.0%,11,11
2012 Summer,Austria,0,0,0,0,0.0%,90,90
2012 Summer,Bahamas,4,0,0,4,13.8%,29,25
2012 Summer,Botswana,0,1,0,1,25.0%,4,3
2012 Summer,Ghana,0,0,0,0,0.0%,7,7
2012 Summer,North Korea,4,0,2,6,10.5%,57,51
2012 Summer,Denmark,3,5,8,16,10.7%,149,133
2012 Summer,Kenya,2,4,5,11,21.6%,51,40
2012 Summer,Ireland,1,1,3,5,6.6%,76,71
2012 Summer,Mongolia,0,2,3,5,15.6%,32,27
2012 Summer,Slovenia,1,1,3,5,6.4%,78,73
2012 Summer,Palau,0,0,0,0,0.0%,5,5
2012 Summer,Hungary,12,8,6,26,12.9%,201,175
2012 Summer,India,0,2,4,6,6.3%,95,89
2012 Summer,Czech Republic,4,4,6,14,8.8%,159,145
2012 Summer,South Africa,6,2,1,9,6.2%,145,136
2012 Summer,Chile,0,0,0,0,0.0%,44,44
2012 Summer,Thailand,0,2,1,3,7.0%,43,40
2012 Summer,Dominican Republic,1,1,0,2,5.6%,36,34
2012 Summer,Peru,0,0,0,0,0.0%,16,16
2012 Summer,Iceland,0,0,0,0,0.0%,36,36
2012 Summer,Israel,0,0,0,0,0.0%,56,56
2012 Summer,Mauritius,0,0,0,0,0.0%,11,11
2012 Summer,Moldova,0,0,2,2,10.0%,20,18
2012 Summer,Guam,0,0,0,0,0.0%,8,8
2012 Summer,Hong Kong,0,0,1,1,1.8%,55,54
2012 Summer,Gabon,0,1,0,1,4.8%,21,20
2012 Summer,Myanmar,0,0,0,0,0.0%,6,6
2012 Summer,Afghanistan,0,0,1,1,16.7%,6,5
2012 Summer,Senegal,0,0,0,0,0.0%,32,32
2012 Summer,Lebanon,0,0,0,0,0.0%,10,10
2012 Summer,South Korea,18,13,30,61,19.6%,312,251
2012 Summer,Antigua,0,0,0,0,0.0%,4,4
2012 Summer,Republic of Congo,0,0,0,0,0.0%,7,7
2012 Summer,Boliva,0,0,0,0,0.0%,5,5
2012 Summer,Monaco,0,0,0,0,0.0%,6,6
2012 Summer,Syria,0,0,0,0,0.0%,10,10
2012 Summer,Montenegro,0,14,0,14,41.2%,34,20
2012 Summer,Guinea,0,0,0,0,0.0%,4,4
2012 Summer,Slovakia,0,1,4,5,7.7%,65,60
2012 Summer,Guyana,0,0,0,0,0.0%,6,6
2012 Summer,Turkmenistan,0,0,0,0,0.0%,10,10
2012 Summer,Saint Lucia,0,0,0,0,0.0%,4,4
2012 Summer,Albania,0,0,0,0,0.0%,10,10
2012 Summer,Honduras,0,0,0,0,0.0%,25,25
2012 Summer,Samoa,0,0,0,0,0.0%,9,9
2012 Summer,Andorra,0,0,0,0,0.0%,6,6
2012 Summer,Grenada,1,0,0,1,12.5%,8,7
2012 Summer,Burundi,0,0,0,0,0.0%,6,6
2012 Summer,Macedonia,0,0,0,0,0.0%,4,4
2012 Summer,Georgia,1,3,3,7,19.4%,36,29
2012 Summer,Individual Olympic Athletes,0,0,0,0,0.0%,4,4
2012 Summer,Malta,0,0,0,0,0.0%,5,5
2012 Summer,Central African Republic,0,0,0,0,0.0%,6,6
2012 Summer,Nicaragua,0,0,0,0,0.0%,6,6
2012 Summer,Cook Islands,0,0,0,0,0.0%,9,9
2012 Summer,Bermuda,0,0,0,0,0.0%,8,8
2012 Summer,Bangladesh,0,0,0,0,0.0%,7,7
2012 Summer,Luxembourg,0,0,0,0,0.0%,11,11
2012 Summer,Mozambique,0,0,0,0,0.0%,6,6
2012 Summer,Mali,0,0,0,0,0.0%,6,6
2012 Summer,Panama,0,0,0,0,0.0%,8,8
2012 Summer,Cambodia,0,0,0,0,0.0%,6,6
2012 Summer,Taiwan,0,1,1,2,3.6%,55,53
2012 Summer,Singapore,0,0,4,4,11.1%,36,32
2012 Summer,Bhutan,0,0,0,0,0.0%,2,2
2012 Summer,Zambia,0,0,0,0,0.0%,7,7
2012 Summer,Vietnam,0,0,0,0,0.0%,24,24
2012 Summer,Gambia,0,0,0,0,0.0%,2,2
2012 Summer,Sri Lanka,0,0,0,0,0.0%,8,8
2012 Summer,Zimbabwe,0,0,0,0,0.0%,9,9
2012 Summer,Sao Tome and Principe,0,0,0,0,0.0%,2,2
2012 Summer,Guinea-Bissau,0,0,0,0,0.0%,4,4
2012 Summer,Micronesia,0,0,0,0,0.0%,6,6
2012 Summer,Kiribati,0,0,0,0,0.0%,3,3
2012 Summer,Haiti,0,0,0,0,0.0%,5,5
2012 Summer,Nauru,0,0,0,0,0.0%,2,2
2012 Summer,Nepal,0,0,0,0,0.0%,5,5
